OBJECTID	Field1	X	longitude	latitude	xco2	sif757	sif771	year	month	day	date
106	16999	16999	-46.10272	-24.30518	390.3831	0.2439681	0.009853751	2015	1	10	42014
107	17000	17000	-46.10272	-24.05622	390.5452	0.2711171	0.8422196	2015	1	10	42014
108	17020	17020	-45.85297	-25.79894	389.2123	0.9486867	-0.2783163	2015	1	10	42014
109	17021	17021	-45.85297	-25.54998	389.1554	0.422722	0.8925172	2015	1	10	42014
110	17022	17022	-45.85297	-25.30102	389.5305	0.2907506	0.2679126	2015	1	10	42014
111	17023	17023	-45.85297	-25.05206	389.8866	0.3249164	-0.1981811	2015	1	10	42014
112	17024	17024	-45.85297	-24.8031	389.6887	0.5078374	0.8685046	2015	1	10	42014
113	17025	17025	-45.85297	-24.55414	389.9138	-0.7740028	-0.2268148	2015	1	10	42014
114	17040	17040	-45.60323	-26.79477	388.6899	0.992525	-0.4130442	2015	1	10	42014
115	17041	17041	-45.60323	-26.54581	389.847	1.213406	-2.991237	2015	1	10	42014
116	17042	17042	-45.60323	-26.29685	391.9481	-0.3937125	0.396694	2015	1	10	42014
117	17043	17043	-45.60323	-26.04789	401.6812	-0.09162056	0.6280287	2015	1	10	42014
118	17044	17044	-45.60323	-25.79894	389.0663	0.7262625	0.3871225	2015	1	10	42014
119	17072	17072	-45.35348	-26.79477	387.4314	1.091236	0.429111	2015	1	10	42014
120	17184	17184	-44.35451	-25.30102	391.3185	0.6660918	-0.1085586	2015	1	3	42007
121	17185	17185	-44.35451	-25.05206	390.3886	0.7251604	0.04255916	2015	1	3	42007
122	17210	17210	-44.10476	-26.04789	392.5137	2.598405	-0.1633248	2015	1	3	42007
123	17211	17211	-44.10476	-24.55414	391.8998	-0.04248921	-0.3928448	2015	1	26	42030
124	17242	17242	-43.85502	-25.79894	389.8299	-2.013815	-0.7516882	2015	1	26	42030
125	17243	17243	-43.85502	-25.54998	389.629	-0.02943351	-0.1168244	2015	1	26	42030
126	17244	17244	-43.85502	-25.30102	388.9421	0.2357368	0.02074682	2015	1	26	42030
127	17245	17245	-43.85502	-25.05206	389.8342	0.2837101	-0.5342458	2015	1	26	42030
128	17246	17246	-43.85502	-24.8031	391.6013	-1.15232	-0.6179573	2015	1	26	42030
129	17284	17284	-43.60528	-25.54998	390.6634	-0.2043575	-0.1477563	2015	1	26	42030
130	21314	21314	-47.35143	-25.79894	390.9915	0.3054928	0.09766796	2015	2	2	42037
131	21315	21315	-47.35143	-25.54998	390.9356	3.727643	0.2361812	2015	2	2	42037
132	21316	21316	-47.35143	-25.30102	394.1537	-0.03529366	0.04959622	2015	2	2	42037
133	21317	21317	-47.35143	-25.05206	394.0318	-0.172863	-0.1253909	2015	2	2	42037
134	21335	21335	-47.10169	-26.79477	391.8299	-2.49817	-0.3825287	2015	2	2	42037
135	21336	21336	-47.10169	-26.54581	388.628	-0.3431854	-1.803069	2015	2	2	42037
136	21337	21337	-47.10169	-26.29685	391.9211	-0.1541957	-0.3168729	2015	2	2	42037
137	21338	21338	-47.10169	-26.04789	391.9452	0.6813641	0.04838838	2015	2	2	42037
138	21339	21339	-47.10169	-25.79894	392.1763	0.323237	0.119086	2015	2	2	42037
139	21340	21340	-47.10169	-25.54998	391.5084	-0.3302696	-0.5049927	2015	2	2	42037
140	21358	21358	-46.85195	-26.79477	391.5925	2.381673	-0.2802821	2015	2	2	42037
141	21359	21359	-46.85195	-26.54581	388.3196	0.1568476	0.1751741	2015	2	2	42037
142	21375	21375	-46.6022	-26.79477	384.1157	-0.04615377	0.3269288	2015	2	25	42060
143	21410	21410	-46.10272	-24.55414	390.0888	-0.6831616	-0.271803	2015	2	11	42046
144	21411	21411	-46.10272	-24.30518	392.0159	-0.8674497	0.2770899	2015	2	11	42046
145	21412	21412	-46.10272	-24.05622	393.749	-1.313854	-0.1850927	2015	2	11	42046
146	21425	21425	-45.85297	-25.54998	392.4461	0.2762944	-0.100678	2015	2	11	42046
147	21426	21426	-45.85297	-25.30102	391.9362	0.7287108	1.715447	2015	2	11	42046
148	21427	21427	-45.85297	-25.05206	390.8493	0.3562692	0.05523428	2015	2	11	42046
149	21428	21428	-45.85297	-24.8031	391.5644	-0.1395892	-0.370087	2015	2	11	42046
150	21429	21429	-45.85297	-24.55414	389.8775	-0.3834103	-0.1911422	2015	2	11	42046
151	21430	21430	-45.85297	-24.30518	391.9486	0.1791202	0.1559345	2015	2	11	42046
152	21439	21439	-45.60323	-26.79477	392.7367	1.156463	0.7849863	2015	2	11	42046
153	21440	21440	-45.60323	-26.54581	393.1168	0.03003522	-0.1856196	2015	2	11	42046
154	21441	21441	-45.60323	-26.29685	393.0149	-0.1236714	-0.01434791	2015	2	11	42046
155	21442	21442	-45.60323	-26.04789	393.405	-0.2710305	-0.08786764	2015	2	11	42046
156	21443	21443	-45.60323	-25.79894	394.0411	0.72161	0.1546839	2015	2	11	42046
157	21444	21444	-45.60323	-25.54998	392.3432	-0.1113989	-0.310455	2015	2	11	42046
158	21463	21463	-45.35348	-26.79477	391.8893	-0.09654049	-0.3025066	2015	2	11	42046
159	21464	21464	-45.35348	-26.54581	392.5614	0.4026345	-0.1531725	2015	2	11	42046
160	21465	21465	-45.35348	-26.29685	392.6665	0.4366927	0.291987	2015	2	11	42046
161	21535	21535	-44.60425	-23.06039	392.8706	0.4210347	0.6923035	2015	2	27	42062
162	21551	21551	-44.35451	-23.55831	388.9357	-0.08320348	0.07574723	2015	2	27	42062
163	21561	21561	-44.10476	-25.30102	383.8748	-1.204067	-0.6984329	2015	2	27	42062
164	21562	21562	-44.10476	-24.8031	388.2509	0.03262652	-0.9319781	2015	2	27	42062
165	21563	21563	-44.10476	-24.55414	385.991	0.3587306	-1.197799	2015	2	27	42062
166	21581	21581	-43.85502	-25.30102	384.3301	0.05795515	-0.4806607	2015	2	27	42062
167	21582	21582	-43.85502	-25.05206	385.1592	0.3921617	0.3188851	2015	2	27	42062
168	26817	26817	-44.60425	-23.06039	386.4603	0.2488699	0.3521188	2015	3	31	42094
169	26849	26849	-44.10476	-25.30102	388.7064	-3.105206	-0.02398648	2015	3	31	42094
170	26869	26869	-43.85502	-25.79894	391.1565	0.0150903	0.4035526	2015	3	31	42094
171	26870	26870	-43.85502	-25.54998	387.0196	-0.05481882	0.01502621	2015	3	31	42094
172	26871	26871	-43.85502	-25.30102	385.7137	-0.4442318	-0.5048716	2015	3	31	42094
173	30581	30581	-47.60118	-25.54998	391.4718	0.05988597	0.2511399	2015	4	7	42101
174	30582	30582	-47.60118	-25.30102	392.5089	0.2700989	-0.4271194	2015	4	7	42101
175	30583	30583	-47.60118	-25.05206	390.828	0.7853547	-0.002821217	2015	4	7	42101
176	30609	30609	-47.35143	-26.79477	392.5611	-0.8406235	0.04107357	2015	4	7	42101
177	30610	30610	-47.35143	-26.54581	392.4662	0.296912	-0.07870139	2015	4	7	42101
178	30611	30611	-47.35143	-26.29685	392.5673	0.7472448	-0.227176	2015	4	7	42101
179	30612	30612	-47.35143	-26.04789	392.5164	-0.1982825	-0.4773448	2015	4	7	42101
180	30613	30613	-47.35143	-25.79894	392.3685	0.5288355	-0.3515443	2015	4	7	42101
181	30614	30614	-47.35143	-25.54998	392.0386	0.1292119	-0.2997447	2015	4	7	42101
182	30615	30615	-47.35143	-25.30102	391.8227	0.7770048	-0.09130876	2015	4	7	42101
183	30616	30616	-47.35143	-25.05206	390.5968	-0.02407953	0.1042227	2015	4	7	42101
184	30646	30646	-47.10169	-26.79477	392.4329	0.3739557	-0.2239436	2015	4	7	42101
185	30647	30647	-47.10169	-26.54581	392.033	0.1305979	-0.2448953	2015	4	7	42101
186	30648	30648	-47.10169	-26.29685	391.5801	-0.5765627	-0.03374124	2015	4	7	42101
187	30718	30718	-46.35246	-24.30518	392.7482	2.069058	-0.4999145	2015	4	16	42110
188	30719	30719	-46.35246	-24.05622	386.4223	-0.4443184	0.6902372	2015	4	16	42110
189	30746	30746	-46.10272	-25.54998	394.5734	0.0215066	0.2626952	2015	4	16	42110
190	30747	30747	-46.10272	-25.30102	394.3595	-0.580756	0.840411	2015	4	16	42110
191	30748	30748	-46.10272	-25.05206	393.6706	-0.1082256	-0.01725791	2015	4	16	42110
192	30749	30749	-46.10272	-24.8031	386.8157	0.8942339	-0.2442687	2015	4	16	42110
193	30750	30750	-46.10272	-24.30518	391.7098	0.1196895	-0.6339236	2015	4	16	42110
194	30751	30751	-46.10272	-24.05622	383.9249	-5.597605	-1.191958	2015	4	16	42110
